IDStation,PM2.5
501,
504,12.657444894287016
514,
517,
528,
529,
531,
539,
542,
544,
545,
546,
548,13.591358024691333
551,
552,
554,10.365949820788554
558,
560,15.511877394636032
561,14.771062271062268
564,
565,
569,
571,
572,
573,
574,
576,13.242793987621567
583,15.646607341490535
584,
588,
592,11.919713261648733
595,
596,
598,
600,8.289964157706093
604,
606,
607,
608,
609,15.14
626,
627,9.149572649572645
629,
633,17.39632513492357
642,13.388333333333323
643,
649,12.835836627140983
652,
654,
655,18.244444444444465
656,
657,
659,
661,
663,
664,
665,
669,17.484444444444435
670,9.762754986143307
672,13.43148148148147
673,
674,10.764680622651655
677,16.77274345283497
679,
681,12.221377368151588
682,
683,
685,12.547509578544057
687,
690,
693,12.267921146953418
695,13.333333333333334
697,12.503913630229414
703,13.588888888888876
705,13.088239538239558
706,10.611111111111134
708,
709,
1264,11.41600543814115
1265,14.85412186379927
1266,
1269,17.542735042735064
1274,
1297,15.246594982078832
1374,
