IDStation,PM10
501,
504,
514,
517,17.811549183592234
528,20.4840048840049
529,
531,21.6904761904762
539,
542,19.383117043628733
544,
545,
546,20.939013169639797
548,24.798168060533637
551,
552,
554,20.56738351254477
558,15.21423451100872
560,19.158730158730165
561,19.86538461538463
564,15.602508960573468
565,16.320071684587834
569,14.256545923212565
571,9.31290322580646
572,14.969731800766299
573,
574,18.77562724014337
576,23.351900972590602
583,20.838153503893235
584,21.411877394636033
588,
592,21.044444444444434
595,21.41707717569787
596,20.195340501792135
598,17.4312322333457
600,17.694082588335466
604,20.9250896057348
606,
607,
608,24.719155714854598
609,21.31452991452993
626,
627,20.528627169931532
629,22.543369175627266
633,26.177777777777766
642,19.91245775729647
643,26.364652082560866
649,22.76245059288537
652,
654,17.723809523809532
655,24.607362423151898
656,
657,
659,22.784299516908234
661,27.488756613756635
663,21.56659765355413
664,19.856477821695233
665,
669,24.936111111111103
670,20.6542380324989
672,
673,18.066666666666666
674,20.5056252489048
677,24.4447181171319
679,16.317204301075268
681,16.797619047619033
682,
683,24.355725840783304
685,18.262007168458798
687,17.242652329749067
690,13.625780682643432
693,17.8290322580645
695,17.8193236714976
697,24.61719806763283
703,22.097318007662835
705,19.869696969696964
706,14.159139784946236
708,18.491127833519133
709,20.856989247311834
1264,14.892646150043234
1265,20.948028673835132
1266,20.517562724014336
1269,22.7905982905983
1274,
1297,24.112903225806466
1374,16.897998619737766
