,Latitude,Longitude,NO2,Normalized
0,44.75,8.5,5.6995807,0.2604961
1,44.75,8.518845,5.7268353,0.26174176
2,44.75,8.537688,5.7579904,0.26316568
3,44.75,8.556533,5.7932653,0.26477793
4,44.75,8.5753765,5.832865,0.2665878
5,44.75,8.594221,5.8770056,0.2686052
6,44.75,8.613066,5.9258943,0.27083963
7,44.75,8.631909,5.979711,0.2732993
8,44.75,8.650754,6.0386686,0.27599394
9,44.75,8.669598,6.1029277,0.27893087
10,44.75,8.688442,6.172653,0.28211764
11,44.75,8.707287,6.2479935,0.285561
12,44.75,8.7261305,6.329054,0.28926584
13,44.75,8.744975,6.415944,0.2932371
14,44.75,8.763819,6.5086966,0.2974763
15,44.75,8.782663,6.6073604,0.30198568
16,44.75,8.801508,6.7118998,0.3067636
17,44.75,8.820352,6.8222556,0.31180733
18,44.75,8.839196,6.938321,0.31711203
19,44.75,8.85804,7.059912,0.3226693
20,44.75,8.876884,7.186821,0.32846957
21,44.75,8.895729,7.3187532,0.33449948
22,44.75,8.914573,7.455351,0.3407426
23,44.75,8.933417,7.596231,0.34718144
24,44.75,8.952261,7.7409163,0.3537942
25,44.75,8.971106,7.8889127,0.3605583
26,44.75,8.98995,8.039646,0.3674475
27,44.75,9.008794,8.192509,0.37443396
28,44.75,9.027638,8.3468895,0.38148987
29,44.75,9.046482,8.50213,0.38858503
30,44.75,9.065327,8.657578,0.39568973
31,44.75,9.084171,8.812586,0.40277424
32,44.75,9.103015,8.96652,0.40980974
33,44.75,9.12186,9.118772,0.41676828
34,44.75,9.140703,9.268775,0.42362413
35,44.75,9.159548,9.416021,0.43035394
36,44.75,9.178392,9.560047,0.43693656
37,44.75,9.197236,9.700435,0.44335288
38,44.75,9.216081,9.836877,0.4495889
39,44.75,9.234924,9.969098,0.455632
40,44.75,9.253769,10.096915,0.4614738
41,44.75,9.272614,10.220196,0.46710828
42,44.75,9.291457,10.338882,0.47253278
43,44.75,9.310302,10.452976,0.47774738
44,44.75,9.329145,10.562514,0.48275375
45,44.75,9.34799,10.667629,0.48755795
46,44.75,9.366835,10.768444,0.49216565
47,44.75,9.385678,10.865139,0.49658504
48,44.75,9.404523,10.957914,0.5008253
49,44.75,9.423367,11.046986,0.5048962
50,44.75,9.442211,11.132576,0.5088081
51,44.75,9.461055,11.2149105,0.51257116
52,44.75,9.479899,11.29422,0.51619595
53,44.75,9.498744,11.370705,0.51969165
54,44.75,9.517588,11.444551,0.52306676
55,44.75,9.536432,11.515955,0.52633023
56,44.75,9.555276,11.585044,0.5294879
57,44.75,9.5741205,11.651962,0.53254634
58,44.75,9.592965,11.716799,0.53550965
59,44.75,9.611809,11.7796335,0.5383815
60,44.75,9.630653,11.840521,0.54116434
