,Latitude,Longitude,NO2,Normalized
0,44.75,8.4,4.3058224,0.4478756
1,44.75,8.478572,4.2846045,0.4456686
2,44.75,8.557143,4.254383,0.4425251
3,44.75,8.635715,4.215323,0.4384622
4,44.75,8.714286,4.171486,0.4339024
5,44.75,8.792857,4.132393,0.42983612
6,44.75,8.8714285,4.110953,0.42760602
7,44.75,8.95,4.1155014,0.42807913
8,44.75,9.028571,4.1418467,0.43081945
9,44.75,9.107142,4.1759524,0.434367
10,44.75,9.185715,4.20387,0.43727088
11,44.75,9.264286,4.216823,0.43861824
12,44.75,9.342857,4.210632,0.43797424
13,44.75,9.421429,4.184645,0.4352712
14,44.75,9.5,4.1421533,0.43085134
15,44.75,9.578571,4.091397,0.42557186
16,44.75,9.657143,4.0450644,0.42075253
17,44.75,9.735714,4.016423,0.4177734
18,44.75,9.814285,4.0135283,0.41747227
19,44.75,9.892858,4.035452,0.4197527
20,44.75,9.971429,4.071638,0.42351663
21,44.75,10.05,4.104286,0.42691255
22,44.75,10.1285715,4.114697,0.42799544
23,44.75,10.207143,4.090244,0.42545193
24,44.75,10.285714,4.0278955,0.41896668
25,44.75,10.364285,3.937402,0.4095539
26,44.75,10.442857,3.8468413,0.40013412
27,44.75,10.521428,3.796485,0.3948962
28,44.75,10.6,3.8020942,0.39547968
29,44.75,10.678572,3.8288631,0.39826408
30,44.75,10.757143,3.8246903,0.39783004
31,44.75,10.835714,3.760304,0.3911328
32,44.75,10.914286,3.643426,0.3789756
33,44.75,10.992857,3.520412,0.36618015
34,44.75,11.071428,3.459321,0.3598257
35,44.75,11.15,3.505255,0.36460358
36,44.75,11.228572,3.6449623,0.3791354
37,44.75,11.307143,3.824441,0.3978041
38,44.75,11.385715,3.99241,0.4152756
39,44.75,11.464286,4.122837,0.42884216
40,44.75,11.542857,4.2121897,0.43813628
41,44.75,11.6214285,4.268184,0.4439606
42,44.75,11.7,4.3010397,0.44737813
43,44.75,11.778571,4.319377,0.4492855
44,44.75,11.857142,4.3292203,0.45030937
45,44.75,11.935715,4.334343,0.4508422
46,44.75,12.014286,4.336942,0.45111257
47,44.75,12.092857,4.338234,0.45124695
48,44.75,12.171429,4.338865,0.45131254
49,44.75,12.25,4.3391685,0.45134416
50,44.79286,8.4,4.296668,0.4469234
51,44.79286,8.478572,4.268789,0.44402352
52,44.79286,8.557143,4.2283683,0.43981913
53,44.79286,8.635715,4.1750164,0.43426967
54,44.79286,8.714286,4.113622,0.42788365
