,Latitude,Longitude,NO2_2019,NO2_2020,NO2_2019_Norm,NO2_2020_Norm
0,44.75,8.35,10.708136,7.284908,0.279513,0.19015695
1,44.75,8.389394,10.7080765,7.224043,0.27951145,0.1885682
2,44.75,8.428788,10.707943,7.1635256,0.27950796,0.18698852
3,44.75,8.468182,10.707663,7.104911,0.27950063,0.18545851
4,44.75,8.507576,10.7071085,7.0501556,0.27948618,0.18402924
5,44.75,8.546969,10.706072,7.0016603,0.27945912,0.18276338
6,44.75,8.586364,10.704254,6.9623394,0.27941167,0.18173699
7,44.75,8.625757,10.701298,6.9356,0.27933452,0.181039
8,44.75,8.665152,10.696923,6.9253316,0.2792203,0.18077098
9,44.75,8.704545,10.691246,6.9357853,0.27907214,0.18104385
10,44.75,8.743939,10.685295,6.971406,0.27891678,0.18197365
11,44.75,8.783334,10.681561,7.036501,0.27881932,0.18367282
12,44.75,8.822727,10.684044,7.134833,0.27888414,0.18623956
13,44.75,8.862122,10.697087,7.2690797,0.2792246,0.18974379
14,44.75,8.901515,10.722776,7.4403143,0.27989516,0.1942135
15,44.75,8.940909,10.758157,7.647563,0.2808187,0.19962329
16,44.75,8.980303,10.794862,7.8875713,0.2817768,0.2058882
17,44.75,9.019697,10.822619,8.154921,0.28250134,0.21286677
18,44.75,9.059091,10.8346,8.442492,0.2828141,0.2203732
19,44.75,9.098485,10.830435,8.742239,0.28270534,0.22819746
20,44.75,9.137878,10.814912,9.046058,0.28230014,0.236128
21,44.75,9.177273,10.7943945,9.346712,0.2817646,0.24397594
22,44.75,9.216666,10.773969,9.638352,0.28123143,0.25158858
23,44.75,9.256061,10.756513,9.9169235,0.28077576,0.25886008
24,44.75,9.295455,10.743088,10.180147,0.28042534,0.26573098
25,44.75,9.334848,10.733703,10.427256,0.28018036,0.2721812
26,44.75,9.374243,10.727918,10.658573,0.28002936,0.27821928
27,44.75,9.413636,10.725183,10.874933,0.27995795,0.28386688
28,44.75,9.453031,10.72497,11.077208,0.2799524,0.2891468
29,44.75,9.492424,10.726771,11.265879,0.27999943,0.29407167
30,44.75,9.531818,10.730037,11.440803,0.28008467,0.2986377
31,44.75,9.571212,10.734106,11.601163,0.28019089,0.30282357
32,44.75,9.610606,10.738211,11.7456,0.28029802,0.30659378
33,44.75,9.65,10.741588,11.87249,0.28038618,0.30990598
34,44.75,9.689394,10.743696,11.980321,0.28044122,0.31272066
35,44.75,9.728787,10.744454,12.068035,0.280461,0.31501025
36,44.75,9.768182,10.744348,12.135329,0.28045824,0.31676683
37,44.75,9.807576,10.744315,12.182802,0.28045738,0.318006
38,44.75,9.84697,10.745407,12.211975,0.2804859,0.31876752
39,44.75,9.886364,10.74832,12.225167,0.2805619,0.31911185
40,44.75,9.925757,10.753008,12.22534,0.2806843,0.31911635
41,44.75,9.965152,10.758591,12.215854,0.28083003,0.31886876
42,44.75,10.004545,10.763671,12.200281,0.28096262,0.31846225
43,44.75,10.04394,10.767005,12.182281,0.28104964,0.3179924
44,44.75,10.083333,10.768271,12.165487,0.28108272,0.31755403
45,44.75,10.122727,10.768636,12.153444,0.28109223,0.31723967
46,44.75,10.162121,10.770975,12.149492,0.2811533,0.31713653
47,44.75,10.201515,10.779895,12.156628,0.2813861,0.3173228
