,Latitude,Longitude,NOx,Normalized
0,44.75,8.5,7.7412415,0.27386576
1,44.75,8.518845,7.802089,0.27601838
2,44.75,8.537688,7.8687363,0.2783762
3,44.75,8.556533,7.941454,0.28094876
4,44.75,8.5753765,8.020504,0.28374535
5,44.75,8.594221,8.1061325,0.2867747
6,44.75,8.613066,8.198576,0.2900451
7,44.75,8.631909,8.2980385,0.29356384
8,44.75,8.650754,8.404711,0.29733762
9,44.75,8.669598,8.518749,0.30137202
10,44.75,8.688442,8.640273,0.30567124
11,44.75,8.707287,8.769367,0.31023827
12,44.75,8.7261305,8.906052,0.31507382
13,44.75,8.744975,9.0503235,0.3201778
14,44.75,8.763819,9.2020855,0.32554674
15,44.75,8.782663,9.36121,0.33117616
16,44.75,8.801508,9.527482,0.33705845
17,44.75,8.820352,9.700597,0.34318283
18,44.75,8.839196,9.880212,0.34953716
19,44.75,8.85804,10.06586,0.35610494
20,44.75,8.876884,10.25703,0.36286804
21,44.75,8.895729,10.4530945,0.36980432
22,44.75,8.914573,10.653364,0.37688935
23,44.75,8.933417,10.857082,0.3840964
24,44.75,8.952261,11.063402,0.39139548
25,44.75,8.971106,11.27146,0.39875603
26,44.75,8.98995,11.480298,0.4061442
27,44.75,9.008794,11.688934,0.41352525
28,44.75,9.027638,11.896408,0.42086515
29,44.75,9.046482,12.101706,0.42812806
30,44.75,9.065327,12.30386,0.43527976
31,44.75,9.084171,12.501901,0.44228595
32,44.75,9.103015,12.6949215,0.44911456
33,44.75,9.12186,12.882071,0.45573542
34,44.75,9.140703,13.062555,0.4621205
35,44.75,9.159548,13.235685,0.46824542
36,44.75,9.178392,13.400837,0.47408807
37,44.75,9.197236,13.557484,0.47962984
38,44.75,9.216081,13.705216,0.48485625
39,44.75,9.234924,13.843715,0.489756
40,44.75,9.253769,13.9727745,0.4943218
41,44.75,9.272614,14.092283,0.4985497
42,44.75,9.291457,14.202225,0.50243914
43,44.75,9.310302,14.302687,0.50599325
44,44.75,9.329145,14.393827,0.5092176
45,44.75,9.34799,14.475907,0.5121214
46,44.75,9.366835,14.5492325,0.51471543
47,44.75,9.385678,14.614179,0.5170131
48,44.75,9.404523,14.671175,0.51902944
49,44.75,9.423367,14.720684,0.520781
50,44.75,9.442211,14.763214,0.5222856
51,44.75,9.461055,14.7992735,0.52356124
52,44.75,9.479899,14.829409,0.5246274
53,44.75,9.498744,14.85415,0.5255026
54,44.75,9.517588,14.874022,0.52620566
55,44.75,9.536432,14.889553,0.5267551
56,44.75,9.555276,14.901245,0.52716875
57,44.75,9.5741205,14.909582,0.5274637
58,44.75,9.592965,14.915017,0.52765596
59,44.75,9.611809,14.917969,0.5277604
60,44.75,9.630653,14.918829,0.52779084
61,44.75,9.649497,14.917948,0.5277597
62,44.75,9.668342,14.915634,0.52767783
63,44.75,9.687186,14.912163,0.527555
64,44.75,9.70603,14.907775,0.5273998
65,44.75,9.7248745,14.90266,0.5272188
66,44.75,9.743718,14.896983,0.52701795
67,44.75,9.762563,14.890865,0.5268015
68,44.75,9.781407,14.8843975,0.5265727
69,44.75,9.800251,14.87764,0.5263337
70,44.75,9.819096,14.870626,0.52608556
71,44.75,9.837939,14.86336,0.5258285
72,44.75,9.856784,14.855828,0.52556205
73,44.75,9.875628,14.847996,0.52528495
74,44.75,9.894472,14.839818,0.5249956
75,44.75,9.913317,14.831236,0.524692
76,44.75,9.93216,14.822187,0.5243719
77,44.75,9.951005,14.812601,0.5240328
78,44.75,9.96985,14.802414,0.52367234
79,44.75,9.988693,14.791564,0.5232885
80,44.75,10.007538,14.779997,0.5228793
81,44.75,10.0263815,14.767668,0.5224431
82,44.75,10.045226,14.754541,0.52197874
83,44.75,10.064071,14.740608,0.5214858
84,44.75,10.082914,14.725861,0.5209641
85,44.75,10.101759,14.710316,0.5204142
86,44.75,10.120603,14.69401,0.5198373
87,44.75,10.139447,14.676985,0.519235
88,44.75,10.158292,14.6593075,0.5186096
89,44.75,10.177135,14.64105,0.5179637
90,44.75,10.19598,14.622301,0.5173004
91,44.75,10.214824,14.603151,0.51662296
92,44.75,10.233668,14.583691,0.51593447
93,44.75,10.252513,14.564022,0.51523864
94,44.75,10.271357,14.544235,0.51453865
95,44.75,10.290201,14.524411,0.51383734
96,44.75,10.309045,14.5046215,0.5131372
97,44.75,10.327889,14.484922,0.5124403
98,44.75,10.346734,14.465351,0.5117479
99,44.75,10.365578,14.445917,0.5110604
100,44.75,10.384422,14.426611,0.5103774
101,44.75,10.403266,14.407392,0.50969744
102,44.75,10.422111,14.388194,0.5090183
103,44.75,10.440955,14.368914,0.5083362
104,44.75,10.459799,14.349428,0.50764686
105,44.75,10.478643,14.329572,0.50694436
106,44.75,10.497487,14.309162,0.50622237
107,44.75,10.516332,14.287984,0.50547314
108,44.75,10.535176,14.265795,0.50468814
109,44.75,10.55402,14.242334,0.50385815
110,44.75,10.572865,14.217321,0.50297326
111,44.75,10.591708,14.190462,0.50202304
112,44.75,10.610553,14.1614485,0.5009966
113,44.75,10.629397,14.129966,0.49988282
114,44.75,10.648241,14.095701,0.49867064
115,44.75,10.667086,14.058348,0.49734914
116,44.75,10.685929,14.017604,0.49590775
117,44.75,10.704774,13.973179,0.4943361
118,44.75,10.7236185,13.924812,0.492625
119,44.75,10.742462,13.872274,0.49076635
120,44.75,10.761307,13.815348,0.48875242
121,44.75,10.78015,13.753869,0.48657745
122,44.75,10.798995,13.687702,0.48423666
123,44.75,10.81784,13.616756,0.48172677
124,44.75,10.836683,13.540995,0.4790465
125,44.75,10.855528,13.460403,0.4761954
126,44.75,10.874372,13.375034,0.47317523
127,44.75,10.893216,13.284969,0.46998897
128,44.75,10.912061,13.190336,0.4666411
129,44.75,10.930904,13.0913105,0.4631378
130,44.75,10.949749,12.988088,0.45948604
131,44.75,10.968593,12.880915,0.45569453
132,44.75,10.987437,12.770059,0.45177272
133,44.75,11.006282,12.655814,0.44773102
134,44.75,11.0251255,12.538515,0.44358128
135,44.75,11.04397,12.418489,0.43933508
136,44.75,11.062814,12.296108,0.43500555
137,44.75,11.081658,12.171728,0.4306053
138,44.75,11.100503,12.045738,0.42614806
139,44.75,11.119347,11.918522,0.4216475
140,44.75,11.138191,11.790457,0.41711685
141,44.75,11.157035,11.661932,0.41256997
142,44.75,11.1758795,11.533303,0.4080194
143,44.75,11.194724,11.40494,0.40347824
144,44.75,11.213568,11.277188,0.3989587
145,44.75,11.232412,11.150363,0.39447194
146,44.75,11.251256,11.024782,0.3900292
147,44.75,11.270101,10.900714,0.38563997
148,44.75,11.288945,10.778427,0.38131377
149,44.75,11.307789,10.658156,0.3770589
150,44.75,11.326633,10.540104,0.3728825
151,44.75,11.345477,10.424467,0.36879155
152,44.75,11.364322,10.311392,0.36479124
153,44.75,11.383165,10.201029,0.36088687
154,44.75,11.40201,10.093484,0.3570822
155,44.75,11.420855,9.988856,0.35338074
156,44.75,11.439698,9.887225,0.34978527
157,44.75,11.458543,9.788638,0.34629753
158,44.75,11.477386,9.693142,0.3429191
159,44.75,11.496231,9.600756,0.33965072
160,44.75,11.515076,9.511489,0.3364927
161,44.75,11.533919,9.425344,0.3334451
162,44.75,11.552764,9.342299,0.33050716
163,44.75,11.571608,9.262335,0.32767823
164,44.75,11.590452,9.18541,0.3249568
165,44.75,11.609297,9.111484,0.32234147
166,44.75,11.62814,9.040512,0.3198307
167,44.75,11.646985,8.97243,0.31742212
168,44.75,11.665829,8.907183,0.31511384
169,44.75,11.684673,8.8447,0.31290334
170,44.75,11.703518,8.784914,0.31078827
171,44.75,11.722362,8.727755,0.30876613
