,Latitude,Longitude,NOx,Normalized
0,44.75,8.5,6.5400443,0.3667063
1,44.75,8.518845,6.5353265,0.36644176
2,44.75,8.537688,6.5298495,0.36613467
3,44.75,8.556533,6.5235176,0.36577964
4,44.75,8.5753765,6.51623,0.36537102
5,44.75,8.594221,6.507883,0.364903
6,44.75,8.613066,6.4983735,0.36436978
7,44.75,8.631909,6.487604,0.36376593
8,44.75,8.650754,6.4754853,0.36308643
9,44.75,8.669598,6.4619465,0.36232728
10,44.75,8.688442,6.4469376,0.36148572
11,44.75,8.707287,6.4304466,0.36056107
12,44.75,8.7261305,6.412501,0.35955483
13,44.75,8.744975,6.393179,0.35847142
14,44.75,8.763819,6.3726244,0.3573189
15,44.75,8.782663,6.351048,0.3561091
16,44.75,8.801508,6.3287377,0.35485816
17,44.75,8.820352,6.306061,0.35358664
18,44.75,8.839196,6.283461,0.35231945
19,44.75,8.85804,6.261453,0.35108545
20,44.75,8.876884,6.240599,0.34991613
21,44.75,8.895729,6.221505,0.3488455
22,44.75,8.914573,6.204775,0.34790742
23,44.75,8.933417,6.190989,0.34713444
24,44.75,8.952261,6.1806498,0.34655473
25,44.75,8.971106,6.1741643,0.34619108
26,44.75,8.98995,6.171795,0.34605822
27,44.75,9.008794,6.1736355,0.34616143
28,44.75,9.027638,6.17961,0.3464964
29,44.75,9.046482,6.18945,0.34704813
30,44.75,9.065327,6.20275,0.3477939
31,44.75,9.084171,6.218963,0.348703
32,44.75,9.103015,6.2374725,0.34974083
33,44.75,9.12186,6.257615,0.35087022
34,44.75,9.140703,6.278735,0.35205445
35,44.75,9.159548,6.300213,0.35325873
36,44.75,9.178392,6.321495,0.35445204
37,44.75,9.197236,6.3421073,0.35560778
38,44.75,9.216081,6.361665,0.35670438
39,44.75,9.234924,6.3798685,0.35772508
40,44.75,9.253769,6.3965034,0.35865784
41,44.75,9.272614,6.411423,0.3594944
42,44.75,9.291457,6.4245434,0.36023006
43,44.75,9.310302,6.435834,0.36086312
44,44.75,9.329145,6.445299,0.36139387
45,44.75,9.34799,6.45298,0.36182454
46,44.75,9.366835,6.4589376,0.36215857
47,44.75,9.385678,6.4632525,0.36240053
48,44.75,9.404523,6.4660187,0.36255562
49,44.75,9.423367,6.4673414,0.36262977
50,44.75,9.442211,6.467336,0.3626295
51,44.75,9.461055,6.4661264,0.36256167
52,44.75,9.479899,6.4638457,0.3624338
53,44.75,9.498744,6.4606357,0.3622538
54,44.75,9.517588,6.45665,0.3620303
55,44.75,9.536432,6.4520483,0.3617723
56,44.75,9.555276,6.447004,0.36148944
57,44.75,9.5741205,6.4416933,0.36119166
58,44.75,9.592965,6.4363008,0.36088932
59,44.75,9.611809,6.4310107,0.3605927
60,44.75,9.630653,6.426004,0.36031196
61,44.75,9.649497,6.4214525,0.36005676
62,44.75,9.668342,6.4175153,0.35983598
63,44.75,9.687186,6.414331,0.35965744
64,44.75,9.70603,6.4120164,0.35952765
65,44.75,9.7248745,6.410661,0.35945168
66,44.75,9.743718,6.4103284,0.35943303
67,44.75,9.762563,6.4110537,0.35947368
68,44.75,9.781407,6.4128456,0.35957417
69,44.75,9.800251,6.4156857,0.3597334
70,44.75,9.819096,6.4195333,0.35994914
71,44.75,9.837939,6.4243207,0.36021757
72,44.75,9.856784,6.429958,0.36053365
73,44.75,9.875628,6.436329,0.3608909
74,44.75,9.894472,6.4432936,0.3612814
75,44.75,9.913317,6.450688,0.361696
76,44.75,9.93216,6.4583235,0.36212415
77,44.75,9.951005,6.4659944,0.36255425
78,44.75,9.96985,6.473478,0.36297387
79,44.75,9.988693,6.480546,0.36337018
80,44.75,10.007538,6.4869695,0.36373034
81,44.75,10.0263815,6.492526,0.36404192
82,44.75,10.045226,6.497009,0.36429328
83,44.75,10.064071,6.5002303,0.3644739
84,44.75,10.082914,6.502026,0.36457458
85,44.75,10.101759,6.5022545,0.3645874
86,44.75,10.120603,6.500797,0.36450565
87,44.75,10.139447,6.4975514,0.36432368
88,44.75,10.158292,6.492433,0.3640367
89,44.75,10.177135,6.4853644,0.36364034
90,44.75,10.19598,6.476276,0.36313075
91,44.75,10.214824,6.465103,0.36250427
92,44.75,10.233668,6.45179,0.36175779
93,44.75,10.252513,6.436295,0.360889
94,44.75,10.271357,6.418603,0.359897
95,44.75,10.290201,6.3987365,0.35878304
96,44.75,10.309045,6.376785,0.3575522
97,44.75,10.327889,6.352917,0.35621393
98,44.75,10.346734,6.327418,0.35478413
99,44.75,10.365578,6.3007064,0.35328642
100,44.75,10.384422,6.2733493,0.35175246
101,44.75,10.403266,6.246075,0.35022318
102,44.75,10.422111,6.2197495,0.34874707
103,44.75,10.440955,6.1953444,0.34737867
104,44.75,10.459799,6.1738653,0.3461743
105,44.75,10.478643,6.156258,0.34518707
106,44.75,10.497487,6.1433024,0.3444606
107,44.75,10.516332,6.135506,0.34402347
108,44.75,10.535176,6.1330323,0.34388477
109,44.75,10.55402,6.1356645,0.34403235
110,44.75,10.572865,6.1428347,0.34443438
111,44.75,10.591708,6.1536922,0.34504318
112,44.75,10.610553,6.1672115,0.34580123
113,44.75,10.629397,6.182294,0.3466469
114,44.75,10.648241,6.1978674,0.34752014
115,44.75,10.667086,6.2129555,0.34836614
116,44.75,10.685929,6.226719,0.34913787
117,44.75,10.704774,6.2384744,0.349797
118,44.75,10.7236185,6.2476883,0.35031363
119,44.75,10.742462,6.253966,0.35066563
120,44.75,10.761307,6.2570295,0.3508374
121,44.75,10.78015,6.2567024,0.35081905
122,44.75,10.798995,6.25289,0.3506053
123,44.75,10.81784,6.245577,0.35019523
124,44.75,10.836683,6.234821,0.34959215
125,44.75,10.855528,6.220763,0.3488039
126,44.75,10.874372,6.2036357,0.34784356
127,44.75,10.893216,6.1837764,0.34673002
128,44.75,10.912061,6.161641,0.34548888
129,44.75,10.930904,6.1378164,0.34415302
130,44.75,10.949749,6.1130114,0.34276217
131,44.75,10.968593,6.0880566,0.34136292
132,44.75,10.987437,6.0638723,0.3400069
133,44.75,11.006282,6.041434,0.33874875
134,44.75,11.0251255,6.021725,0.33764368
