,Latitude,Longitude,NOx_2019,NOx_2020,NOx_2019_Norm,NOx_2020_Norm
0,44.45,8.2,3.2205377,3.2082198,0.0684639,0.06820204
1,44.45,8.239899,3.230754,3.2205157,0.06868108,0.06846343
2,44.45,8.279798,3.2429264,3.2357545,0.06893985,0.06878739
3,44.45,8.319697,3.2573063,3.2545073,0.06924555,0.06918605
4,44.45,8.359596,3.2741392,3.277422,0.06960339,0.06967317
5,44.45,8.399495,3.2936544,3.3052113,0.070018254,0.07026394
6,44.45,8.439394,3.3160481,3.338649,0.07049431,0.070974775
7,44.45,8.479293,3.3414633,3.3785517,0.0710346,0.071823046
8,44.45,8.519192,3.3699732,3.4257498,0.07164068,0.07282641
9,44.45,8.559091,3.4015572,3.4810503,0.07231211,0.07400201
10,44.45,8.5989895,3.4360802,3.545185,0.07304601,0.075365424
11,44.45,8.638889,3.4732745,3.6187615,0.073836714,0.076929554
12,44.45,8.678788,3.5127244,3.7021792,0.07467536,0.07870289
13,44.45,8.718687,3.5538602,3.7955725,0.07554985,0.0806883
14,44.45,8.758586,3.5959632,3.8987358,0.076444894,0.08288139
15,44.45,8.798485,3.6381807,4.0110674,0.077342376,0.0852694
16,44.45,8.838384,3.6795623,4.131543,0.07822209,0.087830536
17,44.45,8.878283,3.719112,4.25871,0.07906286,0.09053391
18,44.45,8.918181,3.7558575,4.3907223,0.07984401,0.0933403
19,44.45,8.958081,3.7889323,4.5254245,0.08054713,0.09620387
20,44.45,8.99798,3.81766,4.660453,0.08115784,0.09907438
21,44.45,9.037879,3.841631,4.7933807,0.08166743,0.10190023
22,44.45,9.077778,3.8607616,4.9218774,0.08207412,0.10463188
23,44.45,9.117677,3.875308,5.043832,0.08238336,0.10722445
24,44.45,9.157576,3.8858604,5.157484,0.08260769,0.10964053
25,44.45,9.1974745,3.8932915,5.26151,0.082765654,0.11185197
26,44.45,9.237373,3.8986702,5.355062,0.08288,0.11384075
27,44.45,9.277273,3.9031641,5.437765,0.08297554,0.115598895
28,44.45,9.317172,3.9079287,5.509682,0.08307682,0.11712775
29,44.45,9.357071,3.914009,5.5712447,0.08320608,0.11843648
