,Latitude,Longitude,PM10,Normalized
0,44.75,8.5,14.566984,0.6276427
1,44.75,8.518845,14.668038,0.6319968
2,44.75,8.537688,14.769409,0.6363645
3,44.75,8.556533,14.871049,0.64074385
4,44.75,8.5753765,14.972921,0.6451332
5,44.75,8.594221,15.07502,0.64953226
6,44.75,8.613066,15.177335,0.6539407
7,44.75,8.631909,15.2797785,0.65835464
8,44.75,8.650754,15.382385,0.6627756
9,44.75,8.669598,15.485079,0.6672003
10,44.75,8.688442,15.587862,0.6716289
11,44.75,8.707287,15.690676,0.6760588
12,44.75,8.7261305,15.7935,0.6804892
13,44.75,8.744975,15.896292,0.6849181
14,44.75,8.763819,15.999008,0.6893438
15,44.75,8.782663,16.101616,0.69376487
16,44.75,8.801508,16.204067,0.6981791
17,44.75,8.820352,16.306326,0.7025851
18,44.75,8.839196,16.408321,0.70697975
19,44.75,8.85804,16.510035,0.71136224
20,44.75,8.876884,16.611403,0.71572983
21,44.75,8.895729,16.71236,0.7200798
22,44.75,8.914573,16.812847,0.7244094
23,44.75,8.933417,16.912834,0.7287175
24,44.75,8.952261,17.012276,0.7330021
25,44.75,8.971106,17.111092,0.7372598
26,44.75,8.98995,17.209234,0.7414884
27,44.75,9.008794,17.306637,0.74568516
28,44.75,9.027638,17.40327,0.7498488
29,44.75,9.046482,17.499065,0.7539763
30,44.75,9.065327,17.593985,0.75806606
31,44.75,9.084171,17.687977,0.76211584
32,44.75,9.103015,17.780996,0.7661237
33,44.75,9.12186,17.873035,0.7700894
34,44.75,9.140703,17.964008,0.7740091
35,44.75,9.159548,18.053923,0.77788323
36,44.75,9.178392,18.142725,0.78170943
37,44.75,9.197236,18.23043,0.78548837
38,44.75,9.216081,18.316986,0.78921777
39,44.75,9.234924,18.402418,0.7928987
40,44.75,9.253769,18.48669,0.79652977
41,44.75,9.272614,18.569815,0.8001113
42,44.75,9.291457,18.65177,0.80364245
43,44.75,9.310302,18.7326,0.80712515
44,44.75,9.329145,18.812283,0.81055844
45,44.75,9.34799,18.890804,0.81394166
46,44.75,9.366835,18.96825,0.81727856
47,44.75,9.385678,19.044544,0.8205658
48,44.75,9.404523,19.119774,0.8238072
49,44.75,9.423367,19.193928,0.8270022
50,44.75,9.442211,19.267,0.83015066
51,44.75,9.461055,19.339039,0.8332546
52,44.75,9.479899,19.41003,0.83631337
53,44.75,9.498744,19.479998,0.83932805
54,44.75,9.517588,19.548943,0.8422986
55,44.75,9.536432,19.616886,0.8452261
56,44.75,9.555276,19.683807,0.84810954
57,44.75,9.5741205,19.749725,0.8509497
58,44.75,9.592965,19.814621,0.8537458
59,44.75,9.611809,19.878508,0.8564985
60,44.75,9.630653,19.941341,0.8592058
61,44.75,9.649497,20.003132,0.86186814
62,44.75,9.668342,20.063858,0.8644846
