,Latitude,Longitude,PM10,Normalized
0,44.75,8.5,2.3385208,0.99421966
1,44.75,8.518845,2.338535,0.99422574
2,44.75,8.537688,2.338551,0.99423254
3,44.75,8.556533,2.3385687,0.99424005
4,44.75,8.5753765,2.338588,0.9942482
5,44.75,8.594221,2.338609,0.99425715
6,44.75,8.613066,2.3386316,0.9942668
7,44.75,8.631909,2.338656,0.9942771
8,44.75,8.650754,2.3386822,0.99428827
9,44.75,8.669598,2.33871,0.9943001
10,44.75,8.688442,2.3387399,0.9943128
11,44.75,8.707287,2.3387716,0.9943263
12,44.75,8.7261305,2.338805,0.9943405
13,44.75,8.744975,2.33884,0.9943554
14,44.75,8.763819,2.3388772,0.9943712
15,44.75,8.782663,2.338916,0.9943877
16,44.75,8.801508,2.3389568,0.99440503
17,44.75,8.820352,2.3389995,0.9944232
18,44.75,8.839196,2.3390439,0.99444205
19,44.75,8.85804,2.3390903,0.99446183
20,44.75,8.876884,2.3391387,0.9944824
21,44.75,8.895729,2.3391888,0.9945037
22,44.75,8.914573,2.339241,0.99452585
23,44.75,8.933417,2.339295,0.9945488
24,44.75,8.952261,2.3393507,0.9945725
25,44.75,8.971106,2.3394086,0.99459714
26,44.75,8.98995,2.3394682,0.99462247
27,44.75,9.008794,2.3395298,0.99464864
28,44.75,9.027638,2.3395932,0.9946756
29,44.75,9.046482,2.3396585,0.99470335
30,44.75,9.065327,2.3397255,0.99473184
31,44.75,9.084171,2.3397946,0.9947612
32,44.75,9.103015,2.3398654,0.9947913
33,44.75,9.12186,2.3399382,0.99482226
34,44.75,9.140703,2.3400126,0.99485385
35,44.75,9.159548,2.3400888,0.99488634
36,44.75,9.178392,2.3401668,0.9949195
37,44.75,9.197236,2.3402467,0.9949534
38,44.75,9.216081,2.3403282,0.9949881
39,44.75,9.234924,2.3404114,0.9950235
40,44.75,9.253769,2.3404963,0.99505955
41,44.75,9.272614,2.340583,0.99509645
42,44.75,9.291457,2.3406713,0.99513394
