,Latitude,Longitude,PM2.5,Normalized
0,44.75,8.5,11.882069,0.88710463
1,44.75,8.518845,11.915443,0.88959634
2,44.75,8.537688,11.948698,0.8920791
3,44.75,8.556533,11.981812,0.89455134
4,44.75,8.5753765,12.014782,0.8970129
5,44.75,8.594221,12.047611,0.8994639
6,44.75,8.613066,12.080292,0.90190375
7,44.75,8.631909,12.112797,0.90433055
8,44.75,8.650754,12.145143,0.9067455
9,44.75,8.669598,12.177311,0.90914714
10,44.75,8.688442,12.209295,0.911535
11,44.75,8.707287,12.241089,0.9139087
12,44.75,8.7261305,12.272701,0.9162689
13,44.75,8.744975,12.304102,0.91861326
14,44.75,8.763819,12.335285,0.92094135
15,44.75,8.782663,12.366257,0.92325366
16,44.75,8.801508,12.396989,0.9255481
17,44.75,8.820352,12.427496,0.92782575
18,44.75,8.839196,12.457752,0.93008465
19,44.75,8.85804,12.487754,0.9323245
20,44.75,8.876884,12.517481,0.9345439
21,44.75,8.895729,12.546949,0.93674403
22,44.75,8.914573,12.576136,0.938923
23,44.75,8.933417,12.605017,0.94107926
24,44.75,8.952261,12.633596,0.943213
25,44.75,8.971106,12.661863,0.9453234
26,44.75,8.98995,12.689793,0.94740856
27,44.75,9.008794,12.717382,0.9494684
28,44.75,9.027638,12.744633,0.95150286
29,44.75,9.046482,12.771513,0.95350975
30,44.75,9.065327,12.798008,0.9554878
31,44.75,9.084171,12.824115,0.9574369
32,44.75,9.103015,12.849819,0.959356
33,44.75,9.12186,12.875082,0.9612421
34,44.75,9.140703,12.899925,0.96309686
35,44.75,9.159548,12.924297,0.96491647
36,44.75,9.178392,12.94821,0.96670175
37,44.75,9.197236,12.97163,0.9684503
38,44.75,9.216081,12.994529,0.9701599
39,44.75,9.234924,13.016907,0.9718306
40,44.75,9.253769,13.038734,0.97346026
41,44.75,9.272614,13.059986,0.9750469
42,44.75,9.291457,13.080663,0.9765906
43,44.75,9.310302,13.100721,0.97808814
44,44.75,9.329145,13.120138,0.9795378
45,44.75,9.34799,13.138899,0.98093843
46,44.75,9.366835,13.156988,0.98228896
47,44.75,9.385678,13.1743555,0.9835856
48,44.75,9.404523,13.191004,0.98482853
49,44.75,9.423367,13.206886,0.9860143
50,44.75,9.442211,13.222006,0.9871431
51,44.75,9.461055,13.236301,0.98821044
52,44.75,9.479899,13.249777,0.98921645
53,44.75,9.498744,13.2624035,0.99015915
54,44.75,9.517588,13.274128,0.9910345
55,44.75,9.536432,13.284945,0.9918421
56,44.75,9.555276,13.294832,0.9925803
57,44.75,9.5741205,13.303753,0.99324626
58,44.75,9.592965,13.311681,0.9938382
59,44.75,9.611809,13.318592,0.9943542
60,44.75,9.630653,13.324466,0.9947927
61,44.75,9.649497,13.329288,0.99515265
62,44.75,9.668342,13.33301,0.9954306
63,44.75,9.687186,13.335622,0.9956256
64,44.75,9.70603,13.337103,0.9957362
65,44.75,9.7248745,13.337418,0.99575967
66,44.75,9.743718,13.336559,0.9956956
67,44.75,9.762563,13.33451,0.9955426
68,44.75,9.781407,13.331219,0.99529684
69,44.75,9.800251,13.326709,0.9949601
70,44.75,9.819096,13.320942,0.9945296
71,44.75,9.837939,13.31391,0.99400455
72,44.75,9.856784,13.305597,0.993384
73,44.75,9.875628,13.295993,0.9926669
74,44.75,9.894472,13.285064,0.991851
75,44.75,9.913317,13.272829,0.99093753
76,44.75,9.93216,13.259274,0.9899255
77,44.75,9.951005,13.2443905,0.98881435
78,44.75,9.96985,13.228161,0.98760265
79,44.75,9.988693,13.21061,0.98629236
80,44.75,10.007538,13.191715,0.98488164
81,44.75,10.0263815,13.171481,0.98337096
82,44.75,10.045226,13.149907,0.98176026
83,44.75,10.064071,13.127003,0.98005027
84,44.75,10.082914,13.102783,0.97824204
85,44.75,10.101759,13.07723,0.97633433
86,44.75,10.120603,13.05039,0.9743304
87,44.75,10.139447,13.022242,0.9722289
88,44.75,10.158292,12.992804,0.9700311
89,44.75,10.177135,12.962105,0.96773916
90,44.75,10.19598,12.930151,0.9653535
91,44.75,10.214824,12.8969555,0.9628751
92,44.75,10.233668,12.862542,0.96030587
93,44.75,10.252513,12.826923,0.9576466
94,44.75,10.271357,12.790142,0.95490056
95,44.75,10.290201,12.7522,0.95206785
96,44.75,10.309045,12.713127,0.9491507
97,44.75,10.327889,12.672944,0.94615066
98,44.75,10.346734,12.631684,0.94307023
99,44.75,10.365578,12.58937,0.93991107
100,44.75,10.384422,12.546032,0.9366755
101,44.75,10.403266,12.501701,0.9333658
102,44.75,10.422111,12.4564,0.9299837
103,44.75,10.440955,12.410164,0.92653173
104,44.75,10.459799,12.36302,0.923012
105,44.75,10.478643,12.315004,0.9194272
106,44.75,10.497487,12.266138,0.9157789
107,44.75,10.516332,12.21646,0.91207
108,44.75,10.535176,12.166013,0.9083036
109,44.75,10.55402,12.114813,0.90448105
110,44.75,10.572865,12.062897,0.9006051
111,44.75,10.591708,12.010312,0.89667916
112,44.75,10.610553,11.957073,0.89270437
113,44.75,10.629397,11.903229,0.8886844
114,44.75,10.648241,11.8488,0.8846208
115,44.75,10.667086,11.793827,0.8805166
116,44.75,10.685929,11.73834,0.876374
117,44.75,10.704774,11.682368,0.8721952
118,44.75,10.7236185,11.625959,0.8679837
119,44.75,10.742462,11.569125,0.8637405
120,44.75,10.761307,11.511914,0.85946923
121,44.75,10.78015,11.4543495,0.8551715
122,44.75,10.798995,11.3964615,0.8508496
123,44.75,10.81784,11.33829,0.8465066
124,44.75,10.836683,11.27985,0.8421435
125,44.75,10.855528,11.221186,0.83776367
126,44.75,10.874372,11.162327,0.8333693
127,44.75,10.893216,11.103292,0.82896185
128,44.75,10.912061,11.04411,0.82454336
129,44.75,10.930904,10.984823,0.82011706
130,44.75,10.949749,10.925431,0.8156829
131,44.75,10.968593,10.865988,0.8112449
132,44.75,10.987437,10.806508,0.80680424
133,44.75,11.006282,10.747008,0.802362
134,44.75,11.0251255,10.687527,0.7979212
135,44.75,11.04397,10.628078,0.79348284
136,44.75,11.062814,10.568691,0.789049
137,44.75,11.081658,10.509387,0.7846214
138,44.75,11.100503,10.450185,0.78020144
139,44.75,11.119347,10.391113,0.7757912
140,44.75,11.138191,10.332178,0.77139115
141,44.75,11.157035,10.273403,0.76700306
142,44.75,11.1758795,10.214826,0.76262975
143,44.75,11.194724,10.156445,0.75827104
144,44.75,11.213568,10.098282,0.75392866
145,44.75,11.232412,10.040356,0.749604
146,44.75,11.251256,9.982685,0.7452983
147,44.75,11.270101,9.925281,0.7410126
148,44.75,11.288945,9.868158,0.73674786
149,44.75,11.307789,9.811333,0.7325053
150,44.75,11.326633,9.754823,0.7282863
151,44.75,11.345477,9.698639,0.7240917
152,44.75,11.364322,9.642785,0.7199217
153,44.75,11.383165,9.587278,0.71577764
154,44.75,11.40201,9.532142,0.71166116
155,44.75,11.420855,9.4773655,0.7075716
156,44.75,11.439698,9.422972,0.70351064
157,44.75,11.458543,9.368968,0.69947875
158,44.75,11.477386,9.31536,0.6954764
159,44.75,11.496231,9.262159,0.69150454
160,44.75,11.515076,9.209374,0.68756366
161,44.75,11.533919,9.15701,0.6836542
162,44.75,11.552764,9.105076,0.6797768
163,44.75,11.571608,9.053577,0.675932
164,44.75,11.590452,9.002516,0.6721198
165,44.75,11.609297,8.9519005,0.66834086
166,44.75,11.62814,8.901741,0.664596
167,44.75,11.646985,8.852033,0.66088486
168,44.75,11.665829,8.802788,0.65720826
169,44.75,11.684673,8.75401,0.65356654
170,44.75,11.703518,8.705696,0.6499595
171,44.75,11.722362,8.657853,0.6463876
172,44.75,11.741206,8.610491,0.64285153
173,44.75,11.76005,8.5636015,0.63935083
174,44.75,11.778894,8.517188,0.63588566
175,44.75,11.797739,8.471254,0.63245624
176,44.75,11.816583,8.425816,0.62906384
177,44.75,11.835427,8.380848,0.6257066
178,44.75,11.854271,8.336376,0.6223864
179,44.75,11.873116,8.292382,0.6191018
180,44.75,11.89196,8.24888,0.615854
181,44.75,11.910804,8.20586,0.61264217
182,44.75,11.929648,8.163333,0.60946715
183,44.75,11.948492,8.121285,0.6063279
184,44.75,11.967337,8.079734,0.6032257
185,44.75,11.986181,8.038672,0.60016006
186,44.75,12.005025,7.998082,0.59712964
187,44.75,12.0238695,7.9579926,0.5941366
188,44.75,12.042713,7.918375,0.5911788
189,44.75,12.061558,7.879252,0.5882579
190,44.75,12.080402,7.8405986,0.5853721
191,44.75,12.099246,7.8024316,0.5825226
192,44.75,12.118091,7.764742,0.5797087
193,44.75,12.136934,7.7275314,0.5769306
194,44.75,12.155779,7.69079,0.5741875
195,44.75,12.1746235,7.654526,0.5714801
196,44.75,12.193467,7.6187234,0.56880707
197,44.75,12.212312,7.5833993,0.5661698
198,44.75,12.231155,7.548539,0.56356716
199,44.75,12.25,7.514142,0.5609991
200,44.76055,8.5,11.882818,0.88716054
