,Latitude,Longitude,PM2.5,Normalized
0,44.75,8.5,1.0651956,0.5812069
1,44.75,8.518845,1.06519,0.5812045
2,44.75,8.537688,1.0651819,0.58120096
3,44.75,8.556533,1.0651702,0.5811959
4,44.75,8.5753765,1.0651536,0.58118874
5,44.75,8.594221,1.0651304,0.58117867
6,44.75,8.613066,1.0650984,0.5811648
7,44.75,8.631909,1.065055,0.58114594
8,44.75,8.650754,1.0649971,0.58112085
9,44.75,8.669598,1.0649213,0.58108795
10,44.75,8.688442,1.064824,0.58104575
11,44.75,8.707287,1.064702,0.5809929
12,44.75,8.7261305,1.0645531,0.58092827
13,44.75,8.744975,1.0643765,0.5808517
14,44.75,8.763819,1.0641735,0.5807636
15,44.75,8.782663,1.0639488,0.5806661
16,44.75,8.801508,1.0637103,0.5805627
17,44.75,8.820352,1.0634701,0.5804585
18,44.75,8.839196,1.0632427,0.5803599
19,44.75,8.85804,1.0630443,0.58027387
20,44.75,8.876884,1.0628911,0.5802074
21,44.75,8.895729,1.0627968,0.5801665
22,44.75,8.914573,1.0627701,0.58015496
23,44.75,8.933417,1.0628139,0.5801739
24,44.75,8.952261,1.062924,0.58022165
25,44.75,8.971106,1.0630907,0.58029395
26,44.75,8.98995,1.0632995,0.58038455
27,44.75,9.008794,1.0635341,0.5804863
28,44.75,9.027638,1.0637782,0.58059216
29,44.75,9.046482,1.0640174,0.5806959
30,44.75,9.065327,1.0642406,0.5807927
31,44.75,9.084171,1.0644403,0.58087933
32,44.75,9.103015,1.0646125,0.580954
33,44.75,9.12186,1.0647564,0.5810164
34,44.75,9.140703,1.064873,0.581067
35,44.75,9.159548,1.0649651,0.58110696
36,44.75,9.178392,1.065036,0.5811377
37,44.75,9.197236,1.0650892,0.5811608
38,44.75,9.216081,1.0651283,0.5811778
39,44.75,9.234924,1.0651562,0.5811899
40,44.75,9.253769,1.0651757,0.5811983
41,44.75,9.272614,1.0651888,0.581204
42,44.75,9.291457,1.0651973,0.5812077
43,44.75,9.310302,1.0652026,0.58120996
44,44.75,9.329145,1.0652057,0.5812113
45,44.75,9.34799,1.0652072,0.581212
46,44.75,9.366835,1.0652078,0.5812122
47,44.75,9.385678,1.0652078,0.5812122
48,44.75,9.404523,1.0652076,0.58121216
49,44.75,9.423367,1.0652071,0.5812119
50,44.75,9.442211,1.0652066,0.58121175
51,44.75,9.461055,1.065206,0.58121145
52,44.75,9.479899,1.0652056,0.58121127
53,44.75,9.498744,1.065205,0.58121103
54,44.75,9.517588,1.0652044,0.58121073
55,44.75,9.536432,1.0652038,0.5812105
56,44.75,9.555276,1.0652028,0.5812101
57,44.75,9.5741205,1.0652016,0.58120954
58,44.75,9.592965,1.0652,0.5812088
59,44.75,9.611809,1.0651975,0.58120775
60,44.75,9.630653,1.065194,0.58120626
61,44.75,9.649497,1.0651891,0.5812041
62,44.75,9.668342,1.0651824,0.58120126
63,44.75,9.687186,1.0651731,0.5811972
64,44.75,9.70603,1.0651609,0.5811919
65,44.75,9.7248745,1.0651445,0.5811848
66,44.75,9.743718,1.0651234,0.5811756
67,44.75,9.762563,1.0650967,0.58116406
68,44.75,9.781407,1.0650635,0.58114964
69,44.75,9.800251,1.0650232,0.5811322
70,44.75,9.819096,1.0649754,0.58111143
71,44.75,9.837939,1.0649204,0.5810876
72,44.75,9.856784,1.064859,0.58106095
73,44.75,9.875628,1.0647926,0.58103216
74,44.75,9.894472,1.0647237,0.5810023
75,44.75,9.913317,1.0646552,0.58097255
76,44.75,9.93216,1.0645907,0.5809446
77,44.75,9.951005,1.0645343,0.5809201
78,44.75,9.96985,1.0644896,0.5809007
79,44.75,9.988693,1.0644599,0.58088785
80,44.75,10.007538,1.0644475,0.5808825
81,44.75,10.0263815,1.0644532,0.58088493
82,44.75,10.045226,1.0644768,0.5808952
83,44.75,10.064071,1.0645164,0.58091235
84,44.75,10.082914,1.0645691,0.58093524
85,44.75,10.101759,1.0646313,0.5809622
86,44.75,10.120603,1.0646992,0.5809916
87,44.75,10.139447,1.0647687,0.5810218
88,44.75,10.158292,1.0648366,0.58105123
89,44.75,10.177135,1.0649003,0.5810788
90,44.75,10.19598,1.064958,0.58110386
91,44.75,10.214824,1.0650085,0.5811258
92,44.75,10.233668,1.0650516,0.58114445
93,44.75,10.252513,1.0650873,0.58115995
94,44.75,10.271357,1.0651163,0.5811725
95,44.75,10.290201,1.0651392,0.5811825
96,44.75,10.309045,1.065157,0.5811902
97,44.75,10.327889,1.0651706,0.5811961
98,44.75,10.346734,1.0651809,0.58120054
99,44.75,10.365578,1.0651884,0.5812038
100,44.75,10.384422,1.0651938,0.58120614
101,44.75,10.403266,1.0651976,0.5812078
102,44.75,10.422111,1.0652002,0.58120894
103,44.75,10.440955,1.065202,0.5812097
104,44.75,10.459799,1.0652031,0.5812102
105,44.75,10.478643,1.0652035,0.5812104
106,44.75,10.497487,1.0652037,0.58121043
107,44.75,10.516332,1.0652033,0.58121026
108,44.75,10.535176,1.0652027,0.58121
109,44.75,10.55402,1.065202,0.5812097
110,44.75,10.572865,1.0652009,0.58120924
111,44.75,10.591708,1.0651997,0.5812087
112,44.75,10.610553,1.0651987,0.5812083
113,44.75,10.629397,1.0651977,0.5812079
114,44.75,10.648241,1.0651972,0.58120763
115,44.75,10.667086,1.0651977,0.5812079
116,44.75,10.685929,1.0651997,0.5812087
117,44.75,10.704774,1.0652041,0.5812107
118,44.75,10.7236185,1.065212,0.5812141
119,44.75,10.742462,1.0652251,0.58121973
120,44.75,10.761307,1.0652453,0.5812285
121,44.75,10.78015,1.0652753,0.5812415
122,44.75,10.798995,1.0653185,0.5812602
123,44.75,10.81784,1.0653789,0.58128643
124,44.75,10.836683,1.0654616,0.5813223
125,44.75,10.855528,1.0655725,0.5813704
126,44.75,10.874372,1.0657178,0.5814334
127,44.75,10.893216,1.0659039,0.5815142
128,44.75,10.912061,1.0661368,0.5816152
129,44.75,10.930904,1.066421,0.5817385
130,44.75,10.949749,1.0667583,0.58188474
131,44.75,10.968593,1.0671467,0.5820532
132,44.75,10.987437,1.0675799,0.58224106
133,44.75,11.006282,1.0680462,0.58244336
134,44.75,11.0251255,1.068529,0.58265275
135,44.75,11.04397,1.0690074,0.58286023
136,44.75,11.062814,1.0694578,0.5830556
137,44.75,11.081658,1.0698557,0.5832282
138,44.75,11.100503,1.0701778,0.5833679
139,44.75,11.119347,1.0704042,0.58346605
140,44.75,11.138191,1.0705193,0.583516
141,44.75,11.157035,1.0705146,0.583514
