"","Date","IDStation","PM2.5"
"1",2019-01-01,607,NA
"2",2019-02-01,607,NA
"3",2019-03-01,607,NA
"4",2019-04-01,607,NA
"5",2019-05-01,607,NA
"6",2019-06-01,607,NA
"7",2019-07-01,607,NA
"8",2019-08-01,607,NA
"9",2019-09-01,607,NA
"10",2019-10-01,607,NA
"11",2019-11-01,607,NA
"12",2019-12-01,607,NA
"13",2020-01-01,607,NA
"14",2020-02-01,607,NA
"15",2020-03-01,607,NA
"16",2020-04-01,607,NA
"17",2020-05-01,607,NA
"18",2020-06-01,607,NA
"19",2020-07-01,607,NA
"20",2020-08-01,607,NA
"21",2020-09-01,607,NA
"22",2020-10-01,607,NA
"23",2020-11-01,607,NA
"24",2020-12-01,607,NA
"25",2019-01-01,551,NA
"26",2019-02-01,551,NA
"27",2019-03-01,551,NA
"28",2019-04-01,551,NA
"29",2019-05-01,551,NA
"30",2019-06-01,551,NA
"31",2019-07-01,551,NA
"32",2019-08-01,551,NA
"33",2019-09-01,551,NA
"34",2019-10-01,551,NA
"35",2019-11-01,551,NA
"36",2019-12-01,551,NA
"37",2020-01-01,551,NA
"38",2020-02-01,551,NA
"39",2020-03-01,551,NA
"40",2020-04-01,551,NA
"41",2020-05-01,551,NA
"42",2020-06-01,551,NA
"43",2020-07-01,551,NA
"44",2020-08-01,551,NA
"45",2020-09-01,551,NA
"46",2020-10-01,551,NA
"47",2020-11-01,551,NA
"48",2020-12-01,551,NA
"49",2019-01-01,584,NA
"50",2019-02-01,584,NA
"51",2019-03-01,584,NA
"52",2019-04-01,584,NA
"53",2019-05-01,584,NA
"54",2019-06-01,584,NA
"55",2019-07-01,584,NA
"56",2019-08-01,584,NA
"57",2019-09-01,584,NA
"58",2019-10-01,584,NA
"59",2019-11-01,584,NA
"60",2019-12-01,584,NA
"61",2020-01-01,584,NA
"62",2020-02-01,584,NA
"63",2020-03-01,584,NA
"64",2020-04-01,584,NA
"65",2020-05-01,584,NA
"66",2020-06-01,584,NA
"67",2020-07-01,584,NA
