"","IDSensor","IDStation","Pollutant","NameStation","Altitude","Province","City","DateStart","DateStop","Latitude","Longitude"
"1",10399,583,"PM2.5","Bergamo - via Meucci",249,"BG","Bergamo",2008-12-20,NA,45.6910374054721,9.64365057946138
"2",9740,604,"PM10","Tavazzano",85,"LO","Tavazzano con Villavesco",2005-04-05,NA,45.3303610018123,9.41464472662726
"3",6376,567,"NOx","Chiavenna",333,"SO","Chiavenna",1993-10-30,2018-07-30,46.3208034978265,9.3955909132574
"4",10025,685,"Ozone","Calusco d' Adda",273,"BG","Calusco d'Adda",2006-06-30,NA,45.6904290785451,9.48426092764779
"5",5824,541,"CO","Limbiate",181,"MB","Limbiate",1994-11-23,2011-07-01,45.5974434982303,9.12594894247239
"6",6642,542,"PM_tot","Meda",222,"MB","Meda",1995-11-01,1998-02-04,45.6617621918917,9.1566439845516
"7",10505,1269,"NOx","Dalmine - via Verdi",207,"BG","Dalmine",2010-02-12,NA,45.6497025123625,9.60122333878526
"8",5519,516,"NO2","Robecchetto",135,"MI","Robecchetto con Induno",1992-12-07,2017-01-01,45.5178221900884,8.76656210924496
"9",5989,584,"Benzene","Bergamo - via Garibaldi",249,"BG","Bergamo",1997-08-02,NA,45.6956803443269,9.66124914606551
"10",6645,515,"PM_tot","Pero",141,"MI","Pero",1991-05-08,2005-10-13,45.5098522667925,9.08997202033733
"11",5561,558,"NO2","Busto Arsizio - Accam",206,"VA","Busto Arsizio",1998-12-06,NA,45.5828942927177,8.84216545670608
"12",6775,651,"NO2","Brescia - via Triumplina $",175,"BS","Brescia",1999-01-15,2005-10-19,45.571585522612,10.2314869130289
"13",10258,626,"Ammonia","Corte de Cortesi",57,"CR","Corte de' Cortesi con Cignone",2006-11-22,NA,45.2784875547884,10.0062023912043
"14",10451,1265,"NOx","Lodi - S. Alberto",76,"LO","Lodi",2009-08-03,NA,45.3027835030958,9.49527369692632
"15",17163,655,"Benzene","Darfo (aria)",221,"BS","Darfo Boario Terme",2012-10-05,NA,45.8746021098904,10.1773568089814
"16",5531,528,"NO2","Milano - Verziere",116,"MI","Milano",1988-11-24,NA,45.4633467406665,9.19532480766886
"17",5560,557,"NO2","Lonate Pozzolo",204,"VA","Lonate Pozzolo",1996-12-05,2018-07-30,45.5940235171086,8.7407965765392
"18",10259,569,"Benzene","Sondrio - via Mazzini",307,"SO","Sondrio",2006-09-19,NA,46.1679668122783,9.87014407497457
"19",10001,683,"NOx","Cassano d'Adda 2 - Via Milano",133,"MI","Cassano d'Adda",2006-02-17,NA,45.526472545851,9.5159804836271
"20",5669,583,"Sulfur_dioxide","Bergamo - via Meucci",249,"BG","Bergamo",1989-06-01,2003-06-03,45.6910374054721,9.64365057946138
"21",10349,527,"PM2.5","Castano Primo",175,"MI","Castano Primo",2007-03-03,2017-01-01,45.545942683674,8.77610458437027
"22",6934,591,"PM10","Seriate",256,"BG","Seriate",2000-01-28,2003-08-12,45.6863560643991,9.71494791763153
"23",10153,702,"NOx","Pieve di Coriano",16,"MN","Pieve di Coriano",2006-11-29,NA,45.0339428141846,11.1169181095401
"24",5593,590,"NO2","Ponte S.Pietro",225,"BG","Ponte San Pietro",1990-07-04,2013-05-26,45.6960819384635,9.58778401827927
"25",6428,633,"NOx","Soresina",70,"CR","Soresina",2002-01-01,NA,45.2839771544676,9.86339841999363
"26",5746,557,"Ozone","Lonate Pozzolo",204,"VA","Lonate Pozzolo",1996-12-13,2005-08-17,45.5940235171086,8.7407965765392
"27",10586,677,"PM2.5","Cremona - Via Fatebenefratelli",43,"CR","Cremona",2010-07-28,NA,45.1425406322169,10.0438361583694
"28",10407,1263,"NO2","Villa di Serio",280,"BG","Villa di Serio",2008-10-08,2018-07-30,45.7358914453283,9.73839478804344
"29",10450,655,"PM2.5","Darfo (aria)",221,"BS","Darfo Boario Terme",2008-12-23,NA,45.8746021098904,10.1773568089814
"30",17126,705,"Benzene","Milano - Pascal Citt� Studi",122,"MI","Milano",2012-09-13,NA,45.4789960616874,9.2354910384975
"31",5950,626,"NO2","Corte de Cortesi",57,"CR","Corte de' Cortesi con Cignone",1996-05-17,NA,45.2784875547884,10.0062023912043
"32",5603,600,"NO2","Lodi - viale Vignati",80,"LO","Lodi",1999-12-30,NA,45.3060129875238,9.48526286320174
"33",6702,643,"Sulfur_dioxide","Pavia - p.zza Minerva",77,"PV","Pavia",2002-03-03,2003-08-11,45.1863290804948,9.14666604128678
"34",5555,552,"NO2","Varese - Vidoletti",425,"VA","Varese",1991-12-24,NA,45.8369007765555,8.80392612667495
"35",5840,543,"CO","Vimercate",194,"MB","Vimercate",1994-12-23,2011-07-01,45.6149208704422,9.36839616178516
"36",6278,613,"NOx","Spino d`Adda - SP1 $",80,"CR","Spino d'Adda",2000-01-13,2006-04-13,45.3897531642298,9.48940257108853
"37",6342,515,"NOx","Pero",141,"MI","Pero",1986-12-10,2018-07-30,45.5098522667925,9.08997202033733
"38",6398,554,"NOx","Saronno - via Santuario",212,"VA","Saronno",1997-03-28,NA,45.626218960836,9.04006309067821
"39",5799,564,"CO","Erba - via Battisti",279,"CO","Erba",2009-01-01,2014-03-05,45.808573806923,9.22177920448843
"40",10547,1269,"PM2.5","Dalmine - via Verdi",207,"BG","Dalmine",2010-02-26,NA,45.6497025123625,9.60122333878526
"41",12621,542,"Cadmium","Meda",222,"MB","Meda",2008-04-18,NA,45.6617621918917,9.1566439845516
"42",5837,513,"CO","Trezzo d`Adda",199,"MI","Trezzo sull'Adda",2001-02-22,2017-01-01,45.6136917587774,9.50812248390592
"43",6280,604,"NOx","Tavazzano",85,"LO","Tavazzano con Villavesco",2000-01-13,NA,45.3303610018123,9.41464472662726
"44",6867,662,"Sulfur_dioxide","Vobarno",242,"BS","Vobarno",1990-02-16,2012-01-04,45.6363595903835,10.5129628037253
"45",6748,647,"NOx","Breno",342,"BS","Breno",1992-06-09,2018-07-30,45.9568305329984,10.3010583394352
"46",5855,537,"CO","Lainate",176,"MI","Lainate",1991-09-25,2011-07-13,45.5675366679826,9.02579666502597
"47",10288,706,"Ozone","Lecco - Via Sora",272,"LC","Lecco",2007-06-28,NA,45.8637488412797,9.39995034468185
"48",6300,544,"NOx","Cormano",153,"MI","Cormano",1994-10-24,NA,45.5510419443724,9.16261365315132
"49",12016,1297,"NOx","Spinadesco",48,"CR","Spinadesco",2011-02-08,NA,45.1504688698568,9.93059647227233
"50",5961,630,"NO2","Crema - via Indipendenza $",78,"CR","Crema",1999-11-02,2007-04-03,45.3694138223915,9.67726870819567
"51",5566,563,"NO2","Fino Mornasco",304,"CO","Fino Mornasco",1992-01-08,2018-07-30,45.7480444095457,9.04259284418394
"52",5574,571,"NO2","Bormio",1225,"SO","Bormio",1993-11-01,NA,46.4695239713258,10.375432759159
"53",10384,693,"Benzene","Sannazzaro de' Burgondi - AGIP",85,"PV","Sannazzaro de' Burgondi",2007-01-01,NA,45.1027662768414,8.90417452771467
"54",10027,685,"PM10","Calusco d' Adda",273,"BG","Calusco d'Adda",2006-06-30,NA,45.6904290785451,9.48426092764779
"55",9983,672,"PM2.5","Cornale (Voghera Energia)",74,"PV","Cornale",2006-02-02,NA,45.0400765720296,8.91414459900241
"56",20004,705,"BlackCarbon","Milano - Pascal Citt� Studi",122,"MI","Milano",2013-09-30,NA,45.4789960616874,9.2354910384975
"57",5542,539,"NO2","Milano - viale Liguria",115,"MI","Milano",1991-10-24,NA,45.4438576535649,9.16794450174268
"58",12590,669,"Cadmium","Brescia - Villaggio Sereno",70,"BS","Brescia",2008-04-01,NA,45.5130388186538,10.1919418887793
"59",6623,574,"PM_tot","Lecco - Via Amendola",214,"LC","Lecco",1991-02-17,1999-11-01,45.8501911945785,9.39557706689322
"60",6264,608,"NOx","Codogno - via Trento",59,"LO","Codogno",2000-01-13,NA,45.1593728023411,9.69814824935254
"61",17286,1374,"NO2","Monza Parco",181,"MB","Monza",2013-05-01,NA,45.6012321995514,9.27507265782848
"62",5652,558,"Sulfur_dioxide","Busto Arsizio - Accam",206,"VA","Busto Arsizio",1998-12-06,NA,45.5828942927177,8.84216545670608
"63",5539,536,"NO2","Arese",157,"MI","Arese",1991-10-16,2018-07-30,45.5434332545016,9.08072583128464
"64",5661,591,"Sulfur_dioxide","Seriate",256,"BG","Seriate",1991-10-31,2003-06-03,45.6863560643991,9.71494791763153
"65",6330,542,"NOx","Meda",222,"MB","Meda",1995-11-01,NA,45.6617621918917,9.1566439845516
"66",6204,592,"NOx","Treviglio",191,"BG","Treviglio",1991-06-02,NA,45.5193349813872,9.59200999488842
"67",6198,589,"NOx","Nembro $",309,"BG","Nembro",1991-06-07,2007-03-14,45.7430368303431,9.76053557277002
"68",6242,577,"NOx","Calolziocorte",215,"LC","Calolziocorte",1994-11-29,2018-07-30,45.8020955051409,9.42946732027788
"69",12020,1297,"Ozone","Spinadesco",48,"CR","Spinadesco",2011-02-04,NA,45.1504688698568,9.93059647227233
"70",6364,517,"NOx","Turbigo",141,"MI","Turbigo",1990-01-11,NA,45.5265508699425,8.73649657837922
"71",5828,542,"CO","Meda",222,"MB","Meda",1995-11-01,NA,45.6617621918917,9.1566439845516
"72",5504,501,"NO2","Milano - viale Marche",129,"MI","Milano",1980-09-18,NA,45.496316443651,9.19093355531362
"73",17082,569,"Benzo_a_pyrene","Sondrio - via Mazzini",307,"SO","Sondrio",2008-04-22,2011-12-30,46.1679668122783,9.87014407497457
"74",6832,657,"Ozone","Lonato",180,"BS","Lonato del Garda",2004-03-14,NA,45.4637531362103,10.4807720435713
"75",20082,573,"Ammonia","Colico",229,"LC","Colico",2013-11-20,NA,46.1381409051264,9.38468724765179
"76",5564,561,"NO2","Como - viale Cattaneo",202,"CO","Como",1991-02-17,NA,45.8150428601129,9.06697137484454
"77",6912,546,"PM10","Magenta",137,"MI","Magenta",1998-02-25,NA,45.4624157911066,8.88021043312557
"78",6392,557,"NOx","Lonate Pozzolo",204,"VA","Lonate Pozzolo",1996-12-05,2018-07-30,45.5940235171086,8.7407965765392
