,Latitude,Longitude,NO2,norm
0,44.75,8.5,11.192932,0.29219398
1,44.75,8.513819,11.192694,0.29218775
2,44.75,8.527638,11.192397,0.29218003
3,44.75,8.541457,11.19203,0.29217044
4,44.75,8.555276,11.19158,0.2921587
5,44.75,8.569096,11.191031,0.29214436
6,44.75,8.582914,11.190371,0.2921271
7,44.75,8.596734,11.189578,0.29210642
8,44.75,8.610553,11.18864,0.29208192
9,44.75,8.624372,11.187538,0.29205316
10,44.75,8.638191,11.18626,0.2920198
11,44.75,8.65201,11.184796,0.2919816
12,44.75,8.665829,11.183143,0.29193842
13,44.75,8.679648,11.181304,0.29189044
14,44.75,8.693467,11.179297,0.29183805
15,44.75,8.707287,11.177155,0.2917821
16,44.75,8.721106,11.174926,0.29172394
17,44.75,8.734924,11.17268,0.2916653
18,44.75,8.748744,11.170513,0.29160872
19,44.75,8.762563,11.168543,0.2915573
20,44.75,8.7763815,11.166913,0.29151475
21,44.75,8.790201,11.165787,0.29148534
22,44.75,8.80402,11.165342,0.29147375
23,44.75,8.81784,11.165766,0.2914848
24,44.75,8.831658,11.167235,0.29152316
25,44.75,8.845477,11.16991,0.291593
26,44.75,8.859297,11.173914,0.2916975
27,44.75,8.873116,11.179315,0.2918385
28,44.75,8.886934,11.186113,0.29201597
29,44.75,8.900754,11.194235,0.29222798
30,44.75,8.914573,11.203513,0.29247022
31,44.75,8.928392,11.213704,0.29273623
32,44.75,8.942211,11.224488,0.29301777
33,44.75,8.95603,11.235494,0.29330507
34,44.75,8.96985,11.246317,0.2935876
35,44.75,8.983668,11.256553,0.2938548
36,44.75,8.997487,11.265822,0.2940968
37,44.75,9.011307,11.273805,0.29430518
38,44.75,9.0251255,11.280254,0.29447356
39,44.75,9.038945,11.285014,0.2945978
40,44.75,9.052764,11.288023,0.29467636
41,44.75,9.066583,11.289309,0.29470992
42,44.75,9.080402,11.2889805,0.29470134
43,44.75,9.094221,11.287208,0.29465505
44,44.75,9.10804,11.284203,0.29457662
45,44.75,9.12186,11.2802,0.29447213
46,44.75,9.135678,11.275442,0.29434794
47,44.75,9.149497,11.27016,0.29421002
48,44.75,9.163317,11.2645645,0.29406396
49,44.75,9.177135,11.258842,0.2939146
50,44.75,9.190955,11.253146,0.29376587
51,44.75,9.204774,11.2476015,0.29362115
52,44.75,9.218593,11.242302,0.2934828
53,44.75,9.232412,11.237316,0.29335263
54,44.75,9.246231,11.23269,0.29323187
55,44.75,9.26005,11.228451,0.29312122
56,44.75,9.2738695,11.22461,0.29302096
57,44.75,9.287688,11.221172,0.2929312
58,44.75,9.301508,11.218127,0.29285172
59,44.75,9.315327,11.215466,0.29278222
60,44.75,9.329145,11.213168,0.29272225
61,44.75,9.342965,11.211219,0.29267135
62,44.75,9.356784,11.209598,0.29262903
63,44.75,9.370603,11.208285,0.2925948
64,44.75,9.384422,11.207262,0.29256806
65,44.75,9.398241,11.20651,0.29254842
66,44.75,9.412061,11.206011,0.2925354
67,44.75,9.4258795,11.205749,0.29252857
68,44.75,9.439698,11.205706,0.29252744
69,44.75,9.453518,11.205868,0.29253167
70,44.75,9.467337,11.206216,0.29254076
71,44.75,9.481155,11.206736,0.29255432
72,44.75,9.494975,11.207409,0.2925719
73,44.75,9.508794,11.208217,0.292593
74,44.75,9.522614,11.209138,0.29261705
75,44.75,9.536432,11.210152,0.29264352
76,44.75,9.550251,11.211233,0.29267174
77,44.75,9.564071,11.212358,0.29270113
78,44.75,9.577889,11.213499,0.2927309
79,44.75,9.591708,11.21463,0.29276043
80,44.75,9.605528,11.215723,0.29278895
81,44.75,9.619347,11.216752,0.2928158
82,44.75,9.633165,11.217693,0.2928404
83,44.75,9.646985,11.218528,0.29286218
84,44.75,9.660804,11.219237,0.29288068
