IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Valore,idOperatore
10399,Particelle sospese PM2.5,µg/m³,583,Bergamo - via Meucci,249.0,BG,Bergamo,N,20/12/2008,,5059922,550116,45.69103740547214,9.643650579461385,"(45.69103740547214, 9.643650579461385)",-42.082191780821915,1
9859,Monossido di Carbonio,mg/m³,673,Voghera - via Pozzoni,90.0,PV,Voghera,N,05/07/2005,,4982900,500665,44.99954598914026,9.008437381815693,"(44.99954598914026, 9.008437381815693)",-2.185195770220061,1
12613,Nikel,ng/m³,670,Mantova - S.Agnese,22.0,MN,Mantova,N,19/02/2008,,5002356,641122,45.16056833010576,10.79556411370788,"(45.16056833010576, 10.79556411370788)",8.78046153846154,1
6364,Ossidi di Azoto,µg/m³,517,Turbigo,141.0,MI,Turbigo,N,11/01/1990,,5041480,479423,45.52655086994247,8.736496578379215,"(45.52655086994247, 8.736496578379215)",19.03625798954103,1
6915,PM10 (SM2005),µg/m³,554,Saronno - via Santuario,212.0,VA,Saronno,N,16/12/2003,,5052520,503123,45.626218960836006,9.04006309067821,"(45.626218960836006, 9.04006309067821)",-174.1095890410959,1
5577,Biossido di Azoto,µg/m³,574,Lecco - Via Amendola,214.0,LC,Lecco,N,17/02/1991,,5077479,530713,45.850191194578535,9.395577066893225,"(45.850191194578535, 9.395577066893223)",33.03038010860256,1
10507,Biossido di Azoto,µg/m³,1269,Dalmine - via Verdi,207.0,BG,Dalmine,N,12/02/2010,,5055304,546847,45.64970251236247,9.601223338785262,"(45.64970251236247, 9.601223338785262)",18.72907311456548,1
6248,Ossidi di Azoto,µg/m³,574,Lecco - Via Amendola,214.0,LC,Lecco,N,01/01/1991,,5077479,530713,45.850191194578535,9.395577066893225,"(45.850191194578535, 9.395577066893223)",65.89425550157193,1
6784,Ossidi di Azoto,µg/m³,652,Brescia - via Turati,154.0,BS,Brescia,N,01/10/1999,,5043626,596168,45.539529434956,10.231785907477224,"(45.539529434955995, 10.231785907477223)",104.4586571428572,1
9991,Ozono,µg/m³,681,Moggio,1194.0,LC,Moggio,N,12/07/2006,,5084478,538586,45.91278752030292,9.497538167653424,"(45.91278752030292, 9.497538167653424)",62.969678181281445,1
9880,Monossido di Carbonio,mg/m³,674,Monza - via Machiavelli,162.0,MB,Monza,N,21/10/2005,,5047450,521343,45.58026348442243,9.273573092713274,"(45.58026348442243, 9.273573092713274)",-7.88042848870869,1
10352,PM10 (SM2005),µg/m³,517,Turbigo,141.0,MI,Turbigo,N,01/01/2008,,5041480,479423,45.52655086994247,8.736496578379215,"(45.52655086994247, 8.736496578379215)",-184.15714285714284,1
6686,Biossido di Zolfo,µg/m³,642,Pavia - via Folperti,77.0,PV,Pavia,N,01/06/2002,,5004590,512932,45.19467609907785,9.164638300630086,"(45.19467609907785, 9.164638300630086)",-203.18089791249628,1
5595,Biossido di Azoto,µg/m³,592,Treviglio,191.0,BG,Treviglio,N,02/06/1991,,5040815,546236,45.51933498138716,9.592009994888423,"(45.51933498138716, 9.592009994888425)",28.647356387539272,1
9918,Ossidi di Azoto,µg/m³,664,Mantova - p.zza Gramsci,18.0,MN,Mantova,N,08/06/2004,,5001351,640031,45.151743379576594,10.78140770009565,"(45.151743379576594, 10.78140770009565)",17.27494285714288,1
5691,Biossido di Zolfo,µg/m³,608,Codogno - via Trento,59.0,LO,Codogno,N,13/01/2000,,5000892,554872,45.15937280234111,9.69814824935254,"(45.15937280234111, 9.69814824935254)",-6.121568064330828,1
5598,Biossido di Azoto,µg/m³,595,Filago - via Don Milani,190.0,BG,Filago,N,06/03/1992,,5053519,543342,45.63386450908066,9.556084255790864,"(45.63386450908066, 9.556084255790864)",15.962804005722443,1
20005,BlackCarbon,µg/m³,548,Milano - via Senato,118.0,MI,Milano,N,30/09/2013,,5035238,515435,45.470499014097,9.197460360112531,"(45.470499014097, 9.197460360112531)",-9999.0,1
9854,Monossido di Carbonio,mg/m³,672,Cornale (Voghera Energia),74.0,PV,Cornale,N,29/07/2005,,4987406,493238,45.04007657202963,8.914144599002409,"(45.04007657202963, 8.914144599002409)",-13.845285714286494,1
6841,Biossido di Azoto,µg/m³,659,Odolo,349.0,BS,Odolo,N,13/12/2013,,5055661,608260,45.64604963372525,10.38929530279196,"(45.64604963372525, 10.38929530279196)",-15.784857394883852,1
5586,Biossido di Azoto,µg/m³,583,Bergamo - via Meucci,249.0,BG,Bergamo,N,01/06/1989,,5059922,550116,45.69103740547214,9.643650579461385,"(45.69103740547214, 9.643650579461385)",12.875250071448916,1
5730,Ozono,µg/m³,564,Erba - via Battisti,279.0,CO,Erba,N,01/01/2009,,5072803,517232,45.808573806922965,9.221779204488437,"(45.808573806922965, 9.221779204488435)",42.05527073732711,1
6328,Ossidi di Azoto,µg/m³,501,Milano - viale Marche,129.0,MI,Milano,N,18/09/1980,,5038105,514918,45.49631644365102,9.190933555313624,"(45.49631644365102, 9.190933555313624)",-565.0155275950805,1
30159,Ossidi di Azoto,µg/m³,655,Darfo (aria),221.0,BS,Darfo Boario Terme,N,23/01/2013,,5080789,591371,45.87460210989037,10.17735680898138,"(45.87460210989037, 10.17735680898138)",34.02723032069967,1
