codice_provincia;denominazione_provincia;sigla_provincia;lat;long
12;Varese;VA;45,81701677;8,822868344
13;Como;CO;45,8099912;9,085159546
14;Sondrio;SO;46,17099261;9,87147489
15;Milano;MI;45,46679409;9,190347404
16;Bergamo;BG;45,69441368;9,668424528
17;Brescia;BS;45,53993052;10,21910323
18;Pavia;PV;45,18509264;9,160157191
19;Cremona;CR;45,13336675;10,02420865
20;Mantova;MN;45,15726772;10,79277363
97;Lecco;LC;45,85575781;9,393392246
98;Lodi;LO;45,31440693;9,503720769
108;Monza e della Brianza;MB;45,58439043;9,27E+00
