,desc_zona,id_zona,sigla_prov,Centroide,Latitude,Longitude
0,PAVIA 1,1435.0,PV,POINT (9.154989095406078 45.18593780951894),45.18593780951894,9.154989095406078
1,PAVIA 2,1436.0,PV,POINT (9.165101985092905 45.19822864054888),45.19822864054888,9.165101985092905
2,ISSO,577.0,BG,POINT (9.748948428731619 45.47291562244122),45.47291562244122,9.74894842873162
3,PORTALBERA,930.0,PV,POINT (9.318099780353235 45.09625409969104),45.096254099691045,9.318099780353235
4,CREMONA 1,1439.0,CR,POINT (10.02375858905953 45.13427261555466),45.134272615554664,10.023758589059529
5,REA,931.0,PV,POINT (9.156901931496717 45.1213827810414),45.121382781041405,9.156901931496717
6,SANT`ANGELO LOMELLINA,947.0,PV,POINT (8.644694678427484 45.23818874024064),45.23818874024064,8.644694678427484
7,SARTIRANA LOMELLINA,948.0,PV,POINT (8.664665888593042 45.10719106085509),45.10719106085509,8.664665888593042
8,MORENGO,591.0,BG,POINT (9.708999003015514 45.54078069528995),45.54078069528995,9.708999003015514
9,IZANO,1019.0,CR,POINT (9.752877838898028 45.35426299590278),45.35426299590278,9.752877838898028
10,MADIGNANO,1020.0,CR,POINT (9.723091687349802 45.33704796109856),45.337047961098556,9.723091687349802
11,ANNONE DI BRIANZA,1141.0,LC,POINT (9.329222962388048 45.80315795736243),45.80315795736243,9.329222962388048
12,BRUSAPORTO,511.0,BG,POINT (9.763654296929911 45.66988874829661),45.66988874829661,9.76365429692991
13,CANONICA D`ADDA,517.0,BG,POINT (9.544061240003431 45.57612196314849),45.57612196314849,9.544061240003431
14,CAPIZZONE,518.0,BG,POINT (9.57894297777275 45.78826661783453),45.78826661783453,9.57894297777275
15,CASTEL ROZZONE,528.0,BG,POINT (9.622025707788216 45.55308066022275),45.553080660222754,9.622025707788216
16,CASTIONE DELLA PRESOLANA,529.0,BG,POINT (10.05870100336546 45.91872040977386),45.91872040977386,10.05870100336546
17,CASTRO,530.0,BG,POINT (10.06350760988306 45.80053266308051),45.80053266308051,10.063507609883061
18,CAVERNAGO,531.0,BG,POINT (9.758168823389225 45.62087179151855),45.620871791518546,9.758168823389225
19,CAZZANO SANT`ANDREA,532.0,BG,POINT (9.882600354635805 45.81449894371541),45.81449894371541,9.882600354635805
20,CENATE SOPRA,533.0,BG,POINT (9.821875768978591 45.71989607842782),45.71989607842782,9.821875768978591
21,CENATE SOTTO,534.0,BG,POINT (9.814202951418329 45.70150745450025),45.70150745450025,9.814202951418329
22,CISERANO,540.0,BG,POINT (9.595840947000994 45.58543346161065),45.58543346161065,9.595840947000994
23,MORNICO AL SERIO,592.0,BG,POINT (9.804795350090014 45.58747729124178),45.58747729124178,9.804795350090014
24,PAGAZZANO,601.0,BG,POINT (9.675084525288137 45.53457127865184),45.53457127865184,9.675084525288137
25,CIVIDATE AL PIANO,541.0,BG,POINT (9.829787397761665 45.54552052927058),45.545520529270576,9.829787397761665
26,CLUSONE,542.0,BG,POINT (9.938208964444794 45.87347744786474),45.87347744786474,9.938208964444794
27,COLERE,543.0,BG,POINT (10.08239316827174 45.96234736175625),45.96234736175625,10.082393168271743
28,PALADINA,602.0,BG,POINT (9.611655374081868 45.72825260492144),45.72825260492144,9.611655374081868
29,PALAZZAGO,603.0,BG,POINT (9.533157764010706 45.75058481842515),45.750584818425146,9.533157764010706
30,ORIGGIO,97.0,VA,POINT (9.009703375991347 45.59318935511212),45.593189355112116,9.009703375991347
31,LURANO,583.0,BG,POINT (9.640840112702628 45.5674975599905),45.5674975599905,9.640840112702628
32,LUZZANA,584.0,BG,POINT (9.867648597264758 45.72195347876558),45.72195347876558,9.867648597264758
